"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"50","н-дно","04","570","301","570","301","16","0.17157","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"51","н-дно печь","09","568","540","568","540","16","0.30672","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"52","н-з.стенка","10","301","688","301","688","16","0.20709","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"53","н-стойка","06","450","720","450","720","16","0.324","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"54","н-стойка","царга","1168","150","1168","150","16","0.1752","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"55","н-стойка печь","08","540","88","540","88","16","0.04752","Нет","Белая","Без облицовки","Без облицовки","Не определена","2"
"56","н-фальш","00","720","23","720","23","18","0.01656","Нет","Пластик 18 мм(2x сторонний)","Без облицовки","Без облицовки","Вдоль","1"
"57","н-фальш","00","720","150","720","150","18","0.108","Нет","Пластик 18 мм(2x сторонний)","Без облицовки","Без облицовки","Вдоль","1"
"58","н-царга","00","1168","80","1168","80","16","0.09344","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"59","н-царга","05","100","118","100","118","16","0.0118","Нет","Белая","Без облицовки","Без облицовки","Не определена","2"
"60","н-царга","05","568","80","568","80","16","0.04544","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"61","н-царга","05","568","100","568","100","16","0.0568","Нет","Белая","Без облицовки","Без облицовки","Не определена","2"
"62","н-царга","05","768","100","768","100","16","0.0768","Нет","Белая","Без облицовки","Без облицовки","Не определена","2"
"63","низ крыша","00","570","301","570","301","16","0.17157","Нет","Белая","Без облицовки","Без облицовки","Не определена","1"
"64","полка радиус","в-35","299","301","299","301","16","0.09","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","3"
"65","полка сьемная","в-30","564","324","564","324","16","0.18274","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","1"
"66","полка сьемная","в-31","564","324","564","324","16","0.18274","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","4"
"67","полка сьемная","в-32","764","322","764","322","16","0.24601","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","3"
"68","полка сьемная","в-33","289","764","289","764","16","0.2208","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","1"
"69","полка сьемная","в-34","289","564","289","564","16","0.163","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","3"
"70","фальш","в-00","43","1100","43","1100","18","0.0473","Нет","Пластик 18 мм(2x сторонний)","Без облицовки","Без облицовки","Не определена","1"
"71","фальш","в-00","60","1100","60","1100","18","0.066","Нет","Пластик 18 мм(2x сторонний)","Без облицовки","Без облицовки","Не определена","1"
"Расход материала","","","","","","","","","","","","","",""
"№","Материал","Код","Толщина мм.","Расход кв.м.","Примечание","","","","","","","","",""
"1","Белая","","16","0.1752","","","","","","","","","",""
"2","Белая","xxx xxx xx","16","13.33502","","","","","","","","","",""
"3","Пластик 18 мм(2x сторонний)","","18","0.76796","","","","","","","","","",""
"4","Под орех двустороняя","xxx xxx xx","16","10.66675","","","","","","","","","",""
"5","Столешница 30 мм","","30","2.49","","","","","","","","","",""
"6","Хдф 4мм","","4","4.98265","","","","","","","","","",""
"Кромки","","","","","","","","","","","","","",""
"№","Материал","Код","Ширина мм.","Длина м.","Толщина мм.","Примечание","","","","","","","",""
"1","ПВХ 0,4 мм","","16","42.2","0","","","","","","","","",""
"Комплектующие","","","","","","","","","","","","","",""
"№","Наименование","Код","Кол.","Примечание","","","","","","","","","",""
"","ПРОЧИЕ:","","","","","","","","","","","","",""
"1","21-203 вытяжка","","1","","","","","","","","","","",""
