"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"37","В06-стоевая","В06-03","720","300","720","300","16","0.216"," Н Л В П ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Вдоль","1"
"38","В06-фасад","В06-05","496","716","496","716","20","0.35514","Нет","Белый 5000B","Без облицовки","Без облицовки","Не определена","1"
"39","В06-фасад_Фальш","В06-06","300","720","300","720","20","0.216","Нет","Белый 5000B","Без облицовки","Без облицовки","Не определена","1"
"40","В06-хдф","В06-01","710","466","710","466","3","0.33086","Нет","ХДФ","Без облицовки","Без облицовки","Вдоль","1"
"41","Н01-Зад-стенка","Н01-03","468","402","468","402","16","0.18814"," В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"42","Н01-Зад-стенка","Н01-04","688","100","688","98","16","0.0688"," Н ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"43","Н01-Задняя-стенка","Н01-","468","270","468","270","16","0.12636","Нет","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"44","Н01-Полка","Н01-06","370","468","368","468","16","0.17316"," Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"45","Н01-Полка-Р","Н01-05","352","98","350","96","16","0.0345"," В П ВП ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
"46","Н01-Полка-Р","Н01-05","368","100","366","98","16","0.0368"," Л В П ВП ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"47","Н01-дно","Н01-09","370","600","368","598","16","0.222"," Н Л В П НП ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Поперёк","1"
"48","Н01-за-фальш","Н01-01","70","720","70","720","16","0.0504"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Поперёк","1"
"49","Н01-за-фальш","Н01-01","720","70","720","70","16","0.0504"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"50","Н01-стоевая","Н01-07","704","370","704","368","16","0.26048"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"51","Н01-стоевая","Н01-07","704","370","704","368","16","0.26048"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"52","Н01-фальш_фасад","Н01-10","32","716","32","716","16","0.02291","Нет","Дуб тёмный","Без облицовки","Без облицовки","Поперёк","1"
"53","Н01-фасад","Н01-02","496","430","496","430","16","0.21328","Нет","Дуб тёмный","Без облицовки","Без облицовки","Вдоль","1"
"54","Н01-царга","Н01-08","468","100","468","98","16","0.0468"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"55","Н01-царга","Н01-08","468","100","468","100","16","0.0468"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"56","Н02-дно","Н02-01","844","510","844","510","16","0.43044"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"57","Н02-задняя стенка","Н02-05","494","420","494","420","16","0.20748"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"58","Н02-задняя стенка","Н02-05","828","704","828","704","16","0.58291"," В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"59","Н02-стоевая","Н02-02","704","510","704","510","16","0.35904"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"60","Н02-стойка","Н02-04","244","720","244","720","16","0.17568"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
